DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Vict Age,Premis Desc,Crm Cd 1,LOCATION,Cross Street,LAT,LON
211507896,04-11-2021 0.00,11-07-2020 0.00,845,15,N Hollywood,1502,354,31,SINGLE FAMILY DWELLING,354,7800    BEEMAN                       AV,,34.2124,-118.4092
201516622,10/21/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1845,15,N Hollywood,1521,230,32,SIDEWALK,230,ATOLL                        AV,N  GAULT,34.1993,-118.4203
240913563,12-10-2024 0.00,10/30/2020 12:00:00 AM,1240,9,Van Nuys,933,354,30,SINGLE FAMILY DWELLING,354,14600    SYLVAN                       ST,,34.1847,-118.4509
210704711,12/24/2020 12:00:00 AM,12/24/2020 12:00:00 AM,1310,7,Wilshire,782,331,47,STREET,331,6000    COMEY                        AV,,34.0339,-118.3747
201418201,10-03-2020 0.00,09/29/2020 12:00:00 AM,1830,14,Pacific,1454,420,63,ALLEY,420,4700    LA VILLA MARINA,,33.9813,-118.435
240412063,12-11-2024 0.00,11-11-2020 0.00,1210,4,Hollenbeck,429,354,35,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",354,5300    CRONUS                       ST,,34.083,-118.1678
240317069,12/16/2024 12:00:00 AM,04/16/2020 12:00:00 AM,1350,3,Southwest,396,354,21,SINGLE FAMILY DWELLING,354,900 W  40TH                         PL,,34.01,-118.29
201115217,10/29/2020 12:00:00 AM,07-07-2020 0.00,1400,11,Northeast,1133,812,14,YARD (RESIDENTIAL/BUSINESS),812,3000    ACRESITE                     ST,,34.1107,-118.2589
241708596,04/20/2024 12:00:00 AM,03-02-2020 0.00,1200,17,Devonshire,1729,354,43,SINGLE FAMILY DWELLING,354,17700    SIMONDS                      ST,,34.2763,-118.521
242113813,12/18/2024 12:00:00 AM,09-01-2020 0.00,900,21,Topanga,2196,354,57,SINGLE FAMILY DWELLING,354,20900    MARMORA                      ST,,34.1493,-118.5886
240605846,02-06-2024 0.00,06/20/2020 12:00:00 AM,1,6,Hollywood,657,812,13,SINGLE FAMILY DWELLING,812,1000 N  RIDGEWOOD                    PL,,34.0878,-118.3146
242014110,12/18/2024 12:00:00 AM,11/17/2020 12:00:00 AM,1320,20,Olympic,2023,354,34,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",354,400 S  ARDMORE                      AV,,34.0672,-118.3016
202113531,09-06-2020 0.00,09-05-2020 0.00,1500,21,Topanga,2149,510,0,PARKING LOT,510,19700    VANOWEN                      ST,,34.1938,-118.5631
201710725,07-03-2020 0.00,07-02-2020 0.00,500,17,Devonshire,1762,310,0,OTHER BUSINESS,310,9500    COZYCROFT                    AV,,34.2427,-118.582
201406733,02/16/2020 12:00:00 AM,02/13/2020 12:00:00 AM,2300,14,Pacific,1406,330,32,GARAGE/CARPORT,330,3300    MOTOR                        AV,,34.024,-118.409
201405970,02-01-2020 0.00,02-01-2020 0.00,1658,14,Pacific,1494,440,39,TRANSPORTATION FACILITY (AIRPORT),440,300    WORLD                        WY,,33.944,-118.4073
201820230,11-08-2020 0.00,11-08-2020 0.00,730,18,Southeast,1844,626,26,STREET,626,108TH                        ST,AVALON                       AV,33.9383,-118.2652
201707577,03/20/2020 12:00:00 AM,03/20/2020 12:00:00 AM,1320,17,Devonshire,1752,624,21,RESTAURANT/FAST FOOD,624,20900    DEVONSHIRE                   ST,,34.2572,-118.5885
201514848,09-04-2020 0.00,08/17/2020 12:00:00 AM,400,15,N Hollywood,1549,310,0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",310,11100    CUMPSTON                     ST,,34.17,-118.3722
201405023,01/19/2020 12:00:00 AM,01/19/2020 12:00:00 AM,1850,14,Pacific,1435,310,37,SINGLE FAMILY DWELLING,310,3500    PURDUE                       AV,,34.0158,-118.4258
